Country,Reach R16 %,Reach QF %,Reach SF %,Reach Final %,Win Trophy %
Spain,88.27,74.64,67.23,53.76,38.88
Argentina,76.03,67.56,53.92,38.31,21.03
England,83.23,59.4,40.61,21.33,10.24
France,84.02,60.78,41.29,18.3,8.96
Brazil,70.04,50.94,28.55,12.29,4.82
Portugal,72.9,44.3,19.77,9.95,3.56
Netherlands,56.59,40.91,20.4,7.3,2.7
Germany,74.81,36.37,19.36,6.27,2.11
Belgium,70.53,40.45,11.11,4.82,1.32
Colombia,58.76,26.78,10.71,4.45,1.24
Morocco,51.51,31.32,13.45,3.83,0.97
Uruguay,30.24,17.7,8.54,3.27,0.8
Mexico,68.5,26.25,11.14,3.23,0.8
Croatia,49.39,17.66,7.76,2.58,0.69
Canada,56.51,21.11,5.3,1.32,0.29
Ecuador,52.12,17.29,5.71,1.29,0.29
Japan,33.41,16.07,4.58,1.21,0.28
United States,48.76,18.68,4.09,1.24,0.25
Switzerland,59.04,23.25,6.04,1.46,0.24
Türkiye,43.04,14.85,2.98,0.84,0.15
Norway,37.66,14.3,3.81,0.78,0.14
Austria,15.65,6.5,1.72,0.4,0.07
Senegal,30.8,10.45,2.29,0.4,0.05
Iran,37.13,9.88,1.72,0.35,0.05
Paraguay,23.94,5.92,1.03,0.17,0.03
Australia,17.68,3.65,0.59,0.08,0.02
South Korea,32.44,7.57,1.62,0.21,0.01
Côte d'Ivoire,23.27,4.38,0.61,0.09,0.01
Egypt,22.73,4.72,0.62,0.1,0.0
Sweden,13.62,3.71,0.66,0.09,0.0
Algeria,10.46,3.33,0.5,0.08,0.0
Czechia,23.3,4.65,0.67,0.07,0.0
Scotland,16.08,3.98,0.68,0.05,0.0
Bosnia and Herzegovina,17.25,2.96,0.28,0.03,0.0
DR Congo,4.08,0.5,0.06,0.01,0.0
Ghana,5.01,0.9,0.09,0.01,0.0
Iraq,3.34,0.6,0.04,0.01,0.0
New Zealand,3.12,0.32,0.01,0.01,0.0
Tunisia,6.67,1.31,0.17,0.01,0.0
Uzbekistan,4.83,0.73,0.09,0.01,0.0
Cabo Verde,1.27,0.12,0.01,0.0,0.0
Curaçao,0.44,0.01,0.0,0.0,0.0
Haiti,0.15,0.0,0.0,0.0,0.0
Jordan,1.34,0.17,0.0,0.0,0.0
Panama,3.79,0.52,0.04,0.0,0.0
Qatar,6.91,0.89,0.05,0.0,0.0
Saudi Arabia,5.57,1.22,0.09,0.0,0.0
South Africa,3.79,0.42,0.03,0.0,0.0
